Title,DirectedBy,ProducedBy,Starring,ProductionBy,DistributedBy,Released,RunningTime,Country,Budget,BoxOffice
12 Rounds (film),RennynullHarlin,Mark Gordon,JohnnullCena,WWEnullStudios,20thnullCenturynullFox,"March 19, 2009 (2009-03-19)null(Australia)
March 27, 2009 (2009-03-27)null(UnitednullStates)",109null,UnitednullStates,,$17.28 million
12 Rounds 2: Reloaded,RoelnullReiné,,RandynullOrton,,20thnullCenturynullFoxnullHomenullEntertainment,"June 4, 2013 (2013-06-04)",94null,UnitednullStates,,
12 Rounds 3: Lockdown,ThenullDay,,DeannullAmbrose,WWEnullStudios,LionsgatenullFilms,"September 11, 2015 (2015-09-11)",90null[1],UnitednullStates,,
12 Years a Slave (film),StevenullMcQueen,Brad Pitt,ChiwetelnullEjiofor,RegencynullEnterprises,FoxnullSearchlightnullPictures,"August 30, 2013 (2013-08-30)null(TelluridenullFilmnullFestival)
November 8, 2013 (2013-11-08)null(UnitednullStates)
January 10, 2014 (2014-01-10)null(UnitednullKingdom)",134null[1],"
UnitednullStates
UnitednullKingdom",,
12 and Holding,MichaelnullCuesta,,,,IFCnullFilms,"May 19, 2005 (2005-05-19)",95nulls.,UnitednullStates,"$400,000null(imated)","$119,195"
125 Years Memory,MitsutoshinullTanaka,,,,Toei,"December 5, 2015 (2015-12-05)null(Japan)
December 25, 2015 (2015-12-25)null(Turkey)",132null[1],JapannullnullTurkey,,
127 Hours,DannynullBoyle,Christian Colson,JamesnullFranco,Pathé,FoxnullSearchlightnullPictures,"4 September 2010 (2010-09-04)null(TelluridenullFilmnullFestival)
5 November 2010 (2010-11-05)null(UnitednullStates)
7 January 2011 (2011-01-07)null(UnitednullKingdom)",93null,UnitednullKingdomUnitednullStates,,
12:01 (1993 film),JacknullSholder,,,,,,92null,nullofnulloriginUnitednullStates,,
12:01 PM (1990 film),,,,,,1990 (1990),25null,UnitednullStates,,
12th & Delaware,RachelnullGrady,,,,HBOnullFilms,"January 24, 2010 (2010-01-24)null(Sundance)",80 ,UnitednullStates,,
13 (2010 film),GélanullBabluani,,,,AnchornullBaynullFilms,"March 13, 2010 (2010-03-13)null(SXSW)
October 28, 2011 (2011-10-28)null(UnitednullStates)",97null,UnitednullStates,,
13th (film),AvanullDuVernay,Howard Barish,,,Netflix,"September 30, 2016 (2016-09-30)null(NYFF)
October 7, 2016 (2016-10-07)null(UnitednullStates)",100null,UnitednullStates,$1nullmillion[1],$566knull(UKnullonly)[2]
13 Assassins (1963 film),EiichinullKudo,,,,ToeinullCompany,1963,125null,Japan,,
13 Assassins (2010 film),TakashinullMiike,,K?jinullYakusho,[1],Toho,"9 September 2010 (2010-09-09)null(VenicenullFilmnullFestival)
25 September 2010 (2010-09-25)null(Japan)",125null[3],UnitednullKingdom[1]Japan[1],,
13 Beloved,MatthewnullChookiatnullSakveerakul,,,,,"October 5, 2006 (2006-10-05)",116null110nullnull(Ratednullcut),Thailand,"THBnull13nullmillionnull(US$400,000)",THBnull18.47nullmillion
Thirteen Days (film),RogernullDonaldson,Armyan Bernstein,KevinnullCostner,,NewnullLinenullCinema,"December 25, 2000 (2000-12-25)",145null[1],UnitednullStates,,
13 Ghosts,WilliamnullCastle,,CharlesnullHerbert,,ColumbianullPictures,"August 5, 1960 (1960-08-05)",84null[1],UnitednullStates,,$1.5nullmillionnull(US/Canada)[2]
Thirteen Ghosts,StevenullBeck,,TonynullShalhoub,ColumbianullPictures,WarnernullBros.nullPictures,"October 26, 2001 (2001-10-26)",91null,UnitednullStatesnullCanada,,
13 Going on 30,GarynullWinick,Gina Matthews,JennifernullGarner,,SonynullPicturesnullReleasing,"April 23, 2004 (2004-04-23)",97null[1],UnitednullStates,,
13 Hours: The Secret Soldiers of Benghazi,MichaelnullBay,Erwin Stoff,JamesnullBadgenullDale,3nullArtsnullEntertainment,ParamountnullPictures,"January 12, 2016 (2016-01-12)null(AT&TnullStadium)
January 15, 2016 (2016-01-15)null(UnitednullStates)",144null[1],UnitednullStates,,
13 Moons,AlexandrenullRockwell,,,,,January 2002 (2002-01),93null,UnitednullStates,,
13 Rue Madeleine,HenrynullHathaway,,,,TwentiethnullCentury-FoxnullFilmnullCorporation,"January 15, 1947 (1947-01-15)",95null,UnitednullStates,,"$2,750,000null(USnullrentals)"
13 Tzameti,GélanullBabluani,,,,PalmnullPictures,"September 1, 2005 (2005-09-01)null(Venice)
February 8, 2006 (2006-02-08)null(France)",95null,France,€1.4nullmillion,"$795,223"
The 13th Warrior,JohnnullMcTiernan,Michael Crichton,AntonionullBanderas,,BuenanullVistanullPictures,"August 27, 1999 (1999-08-27)",103null[1],UnitednullStates,,
1408 (film),MikaelnullHåfström,,JohnnullCusack,,DimensionnullFilms,"June 22, 2007 (2007-06-22)",104null,UnitednullStates,,
1492: Conquest of Paradise,RidleynullScott,,GérardnullDepardieu,,ParamountnullPictures,"Octobernull8,null1992(Spain)Octobernull9,null1992(UnitednullStates)Octobernull12,null1992(France)",156null,FranceSpain,$47nullmillion,
15 Minutes,JohnnullHerzfeld,David Blocker,RobertnullDenullNiro,TriBeCanullProductions,NewnullLinenullCinema,"March 9, 2001 (2001-03-09)",120null,"
UnitednullStates[2]
Germany[2]",$42nullmillion,
15 (film),RoystonnullTan,,,,,27 April 2003 (2003-04-27),96null,Singapore,,
16 Blocks,RichardnullDonner,,,,WarnernullBros.nullPictures,"March 3, 2006 (2006-03-03)",102null,UnitednullStates,$55nullmillion,
16-Love,,,,,,"Januarynull20,null2012",88null,UnitednullStates,,
17 Again (film),BurrnullSteers,,,,WarnernullBros.nullPictures,"April 17, 2009 (2009-04-17)",105null,UnitednullStates,$20nullmillion[1],
1776 (film),PeternullH.nullHunt,,,,ColumbianullPictures,"November 17, 1972 (1972-11-17)",141null[1](Theatrical)168nullnull(DVD),UnitednullStates,$6nullmillion,"$2,800,000null(Rentals)[3]"
19 (film),,,,,,"July 14, 2001 (2001-07-14)null(Japan)",83null,Japan,,
Nineteen Eighty-Four (1984 film),MichaelnullRadford,,JohnnullHurt,VirginnullFilms,20thnullCenturynullFox,10 October 1984 (1984-10-10)null(UnitednullKingdom),110null[1][notenull1][2],UnitednullKingdom[3],,
