Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Scored Label Mean,Scored Label Standard Deviation
No,Basic,Bachelor,Employed,M,81410,Rural,Divorced,119,8,86,0,7,Personal Auto,Personal L2,Offer1,Branch,221,SUV,Medsize,74.58333333,5.120085727
No,Extended,College,Medical Leave,F,23843,Urban,Married,79,1,42,0,5,Personal Auto,Personal L3,Offer3,Branch,345,Four-Door Car,Medsize,50.83333333,3.004626073
No,Basic,High School or Below,Employed,M,90043,Urban,Married,63,12,21,0,2,Personal Auto,Personal L3,Offer2,Branch,203,Four-Door Car,Medsize,71.25,10.76097631
Yes,Basic,Bachelor,Disabled,M,18375,Suburban,Married,103,8,50,0,1,Personal Auto,Personal L2,Offer1,Branch,535,Sports Car,Large,30,0.000273861
No,Basic,Bachelor,Employed,F,73769,Urban,Married,61,24,95,2,3,Personal Auto,Personal L3,Offer4,Web,240,Four-Door Car,Medsize,39.375,2.997394715
Yes,Basic,High School or Below,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Personal L1,Offer2,Branch,370,SUV,Large,70,0.000290475
No,Extended,College,Employed,M,97729,Rural,Married,95,18,21,0,1,Personal Auto,Personal L3,Offer2,Web,97,Four-Door Car,Medsize,29.375,2.997394712
No,Basic,College,Unemployed,F,0,Suburban,Married,199,10,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,1956,Luxury SUV,Medsize,54,5.222813212
No,Extended,College,Employed,M,56779,Suburban,Divorced,86,21,16,0,3,Corporate Auto,Corporate L1,Offer3,Web,435,Four-Door Car,Medsize,60,0.000281366
Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,63,4,52,0,2,Personal Auto,Personal L1,Offer2,Agent,685,Four-Door Car,Medsize,89.375,2.997394713
No,Basic,High School or Below,Disabled,F,13050,Suburban,Married,102,1,77,0,6,Personal Auto,Personal L1,Offer1,Agent,734,SUV,Medsize,68.75,3.307189149
No,Basic,Master,Employed,F,37675,Suburban,Single,71,25,80,0,3,Personal Auto,Personal L2,Offer1,Agent,381,Four-Door Car,Medsize,50,0.000262202
No,Premium,College,Unemployed,M,0,Suburban,Single,155,23,62,0,5,Corporate Auto,Corporate L2,Offer1,Branch,1116,Sports Car,Medsize,80,0.00027951
No,Extended,Bachelor,Employed,F,45892,Suburban,Married,81,1,49,0,1,Corporate Auto,Corporate L2,Offer2,Agent,389,Four-Door Car,Medsize,20,0.000273861
Yes,Premium,High School or Below,Employed,F,46587,Suburban,Divorced,119,34,74,2,2,Personal Auto,Personal L3,Offer1,Call Center,571,Four-Door Car,Medsize,88.33333333,3.908679809
No,Basic,College,Employed,M,41770,Suburban,Married,72,0,60,0,9,Personal Auto,Personal L1,Offer2,Branch,476,Four-Door Car,Small,50,0.000292262
No,Extended,College,Employed,F,95140,Rural,Divorced,126,6,52,0,2,Personal Auto,Personal L3,Offer1,Agent,45,Sports Car,Medsize,90,0.000306186
No,Basic,Bachelor,Employed,F,90844,Rural,Divorced,118,10,98,0,2,Personal Auto,Personal L3,Offer1,Agent,233,SUV,Medsize,84.375,5.06468575
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,94,6,61,0,1,Personal Auto,Personal L3,Offer1,Agent,1122,Two-Door Car,Large,20,0.000302765
No,Extended,High School or Below,Employed,F,42056,Urban,Married,78,21,2,0,1,Personal Auto,Personal L3,Offer1,Agent,222,Four-Door Car,Large,20,0.000252075
No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,19,17,0,1,Personal Auto,Personal L2,Offer1,Branch,554,Four-Door Car,Medsize,19.375,2.997394715
No,Basic,College,Unemployed,F,0,Suburban,Divorced,65,24,45,1,4,Corporate Auto,Corporate L3,Offer3,Branch,312,Four-Door Car,Small,33.75,4.841229191
No,Extended,High School or Below,Employed,M,55366,Suburban,Divorced,86,11,54,2,4,Personal Auto,Personal L1,Offer3,Agent,456,Four-Door Car,Medsize,58.125,4.284784133
No,Premium,College,Employed,F,75606,Suburban,Married,119,6,97,0,7,Personal Auto,Personal L3,Offer1,Web,571,Four-Door Car,Medsize,74.75,5.043560257
No,Extended,Bachelor,Employed,F,33901,Rural,Married,84,11,19,1,2,Personal Auto,Personal L3,Offer3,Branch,146,Four-Door Car,Medsize,82.5,7.905694156
No,Basic,Bachelor,Employed,F,44833,Suburban,Divorced,72,24,59,0,3,Personal Auto,Personal L2,Offer1,Agent,346,Two-Door Car,Medsize,50,0.000243671
No,Extended,College,Unemployed,F,0,Suburban,Single,78,23,93,1,1,Personal Auto,Personal L2,Offer1,Branch,374,Four-Door Car,Medsize,14.58333333,5.120085726
No,Basic,College,Employed,F,81839,Rural,Married,65,23,39,1,4,Personal Auto,Personal L1,Offer1,Agent,75,Four-Door Car,Medsize,40,0.000268095
Yes,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Offer1,Web,509,SUV,Medsize,89.79166667,1.545041368
No,Extended,Bachelor,Employed,F,33232,Urban,Married,94,21,81,0,2,Special Auto,Special L2,Offer3,Branch,436,Four-Door Car,Medsize,82.5,4.330127027
No,Basic,High School or Below,Employed,F,77493,Urban,Single,70,2,35,0,3,Special Auto,Special L3,Offer1,Agent,308,Four-Door Car,Medsize,47.91666667,4.228704828
No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,109,10,70,0,1,Personal Auto,Personal L1,Offer1,Agent,766,SUV,Medsize,30,0.000266927
No,Basic,Bachelor,Employed,F,34558,Urban,Married,113,32,24,0,1,Personal Auto,Personal L3,Offer1,Call Center,377,SUV,Medsize,30,0.000245798
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,74,16,89,1,2,Personal Auto,Personal L1,Offer1,Agent,355,Two-Door Car,Medsize,83.125,9.258535855
No,Extended,High School or Below,Employed,M,57289,Suburban,Single,86,21,88,0,3,Corporate Auto,Corporate L3,Offer3,Agent,562,Two-Door Car,Small,57.08333333,4.695594869
No,Basic,Master,Employed,F,44818,Rural,Divorced,67,25,41,1,2,Personal Auto,Personal L3,Offer1,Web,137,Two-Door Car,Medsize,67.70833333,8.856004716
No,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,448,Two-Door Car,Medsize,49.16666667,3.004626076
No,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647,SUV,Medsize,27.5,4.330127027
No,Basic,High School or Below,Medical Leave,M,26887,Suburban,Single,113,32,67,0,2,Special Auto,Special L3,Offer1,Web,542,SUV,Small,87.5,5.000000007
No,Basic,College,Disabled,M,16916,Suburban,Married,64,31,31,0,2,Personal Auto,Personal L2,Offer3,Agent,378,Four-Door Car,Medsize,79.58333333,14.03740044
No,Basic,College,Employed,M,59847,Suburban,Married,192,28,62,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,922,Luxury Car,Medsize,60,0.000290475
No,Premium,Bachelor,Employed,F,20597,Suburban,Married,112,31,46,0,1,Personal Auto,Personal L2,Offer2,Agent,615,Four-Door Car,Medsize,30.9375,3.045873243
No,Premium,High School or Below,Unemployed,M,0,Suburban,Single,112,30,29,1,3,Personal Auto,Personal L2,Offer2,Agent,806,Two-Door Car,Medsize,61.5625,6.242182618
No,Extended,Doctor,Employed,M,44930,Rural,Married,132,19,42,0,2,Personal Auto,Personal L3,Offer2,Call Center,111,SUV,Medsize,90,0.000275757
No,Basic,College,Employed,F,50631,Suburban,Married,112,19,12,4,2,Special Auto,Special L1,Offer2,Agent,785,SUV,Medsize,85.83333333,5.068968784
No,Basic,High School or Below,Employed,F,79140,Suburban,Married,74,9,59,0,9,Corporate Auto,Corporate L3,Offer1,Agent,488,Four-Door Car,Small,50,0.000285044
No,Basic,High School or Below,Employed,M,35127,Suburban,Married,62,9,21,0,5,Personal Auto,Personal L2,Offer2,Agent,298,Four-Door Car,Small,40,0.000292262
No,Basic,Doctor,Unemployed,M,0,Suburban,Married,61,3,67,0,1,Personal Auto,Personal L2,Offer4,Call Center,293,Four-Door Car,Medsize,10,0.000233631
No,Basic,College,Employed,F,63892,Rural,Married,66,2,80,0,2,Personal Auto,Personal L3,Offer1,Agent,91,Four-Door Car,Medsize,81.45833333,10.75088821
No,Basic,Bachelor,Employed,M,21498,Suburban,Married,63,23,72,0,9,Corporate Auto,Corporate L1,Offer2,Agent,302,Four-Door Car,Medsize,40,0.000211641
Yes,Basic,College,Medical Leave,F,25370,Suburban,Married,102,10,77,0,2,Personal Auto,Personal L3,Offer1,Branch,490,Sports Car,Large,80,0.000281366
No,Basic,College,Unemployed,M,0,Suburban,Single,69,1,56,0,1,Personal Auto,Personal L3,Offer1,Agent,331,Four-Door Car,Medsize,10,0.000258199
No,Extended,High School or Below,Unemployed,F,0,Suburban,Married,126,13,91,0,1,Personal Auto,Personal L3,Offer2,Web,694,SUV,Medsize,32.8125,4.582149475
No,Extended,Bachelor,Employed,M,85058,Urban,Married,137,34,82,0,2,Personal Auto,Personal L1,Offer1,Call Center,595,SUV,Medsize,90,0.000273862
No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,65,1,60,0,1,Personal Auto,Personal L1,Offer1,Web,328,Four-Door Car,Medsize,10,0.000258199
Yes,Basic,Bachelor,Employed,M,86305,Rural,Married,62,1,99,0,5,Personal Auto,Personal L2,Offer2,Call Center,81,Four-Door Car,Medsize,40,0.000275757
Yes,Basic,High School or Below,Employed,M,81082,Urban,Married,73,5,85,0,4,Personal Auto,Personal L3,Offer2,Agent,281,Four-Door Car,Large,50,0.00025
No,Basic,Bachelor,Employed,M,74115,Urban,Married,63,24,24,0,2,Personal Auto,Personal L2,Offer2,Branch,275,Four-Door Car,Medsize,64.375,8.076779995
No,Extended,College,Employed,M,35695,Suburban,Married,90,2,7,0,1,Personal Auto,Personal L2,Offer4,Branch,432,Four-Door Car,Medsize,20.625,2.997394715
No,Extended,High School or Below,Employed,M,43875,Urban,Divorced,78,18,33,0,5,Corporate Auto,Corporate L3,Offer3,Agent,289,Four-Door Car,Medsize,50,0.000245798
Yes,Basic,High School or Below,Disabled,F,11904,Suburban,Single,61,34,11,2,3,Corporate Auto,Corporate L3,Offer1,Web,293,Two-Door Car,Small,30,0.000275756
No,Extended,High School or Below,Employed,M,51504,Suburban,Single,220,30,99,0,2,Personal Auto,Personal L3,Offer1,Agent,2552,Luxury SUV,Medsize,90,0.000245798
No,Basic,College,Employed,F,49937,Urban,Married,64,1,45,0,2,Personal Auto,Personal L2,Offer3,Web,303,Two-Door Car,Medsize,74.16666667,14.60117956
No,Basic,College,Unemployed,F,0,Suburban,Single,71,11,21,3,2,Personal Auto,Personal L3,Offer4,Call Center,476,Two-Door Car,Medsize,72.08333333,13.27461027
No,Basic,College,Unemployed,F,0,Urban,Divorced,113,4,70,0,4,Personal Auto,Personal L3,Offer1,Web,373,SUV,Medsize,65.625,5.266343615
No,Extended,Bachelor,Employed,F,42790,Urban,Married,87,10,74,0,3,Personal Auto,Personal L1,Offer1,Branch,290,Two-Door Car,Medsize,60,0.000241524
Yes,Basic,Bachelor,Disabled,F,19864,Suburban,Divorced,63,22,96,0,1,Personal Auto,Personal L2,Offer1,Web,352,Four-Door Car,Medsize,10,0.000262996
No,Basic,College,Employed,F,88435,Rural,Married,62,16,61,0,1,Personal Auto,Personal L3,Offer3,Branch,136,Four-Door Car,Small,10,0.000247487
